Date,Station,Obs,Sim
2022-02-13 00:00:00,022513,4.998008333333334,4.990753710269928
2022-02-14 00:00:00,022513,5.0162458333333335,5.011831144491832
2022-02-15 00:00:00,022513,4.812520833333333,4.807212134202321
2022-02-16 00:00:00,022513,4.673304166666667,4.667955378691356
2022-02-17 00:00:00,022513,4.674495833333333,4.6692575216293335
2022-02-18 00:00:00,022513,4.675783333333333,4.661778847376506
2022-02-19 00:00:00,022513,5.2825625,5.269647737344106
2022-02-20 00:00:00,022513,5.3778041666666665,5.371879140535991
2022-02-21 00:00:00,022513,5.5479375,5.538894832134247
2022-02-22 00:00:00,022513,5.6916375,5.677565495173137
2022-02-23 00:00:00,022513,5.8880625,5.8684583107630415
2022-02-24 00:00:00,022513,6.294504166666666,6.263417224089305
2022-02-25 00:00:00,022513,6.57815,6.577713847160339
2022-02-26 00:00:00,022513,6.545120833333333,6.543275694052379
2022-02-27 00:00:00,022513,6.3894375,6.389622708161672
2022-02-28 00:00:00,022513,6.301595833333334,6.298165241877238
2022-03-01 00:00:00,022513,6.236037499999999,6.242481152216594
2022-03-02 00:00:00,022513,5.9628499999999995,5.964600483576457
2022-03-03 00:00:00,022513,5.953491666666667,5.949819803237915
2022-03-04 00:00:00,022513,5.871591666666667,5.87580003341039
2022-03-05 00:00:00,022513,4.545604166666666,4.558899839719136
2022-03-06 00:00:00,022513,4.4931375000000005,4.489765107631683
2022-03-07 00:00:00,022513,4.506358333333334,4.500115593274434
2022-03-08 00:00:00,022513,4.536366666666667,4.531814793745677
2022-03-09 00:00:00,022513,4.636133333333333,4.621625582377116
2022-03-10 00:00:00,022513,4.676720833333333,4.677456100781758
2022-03-11 00:00:00,022513,4.218441666666666,4.219328343868256
2022-03-12 00:00:00,022513,4.2437625,4.231580515702565
2022-03-13 00:00:00,022513,4.352479166666667,4.338373462359111
2022-03-14 00:00:00,022513,4.454904166666666,4.444800674915314
2022-03-15 00:00:00,022513,4.394666666666667,4.385313014189403
2022-03-16 00:00:00,022513,4.786670833333333,4.743427395820618
2022-03-17 00:00:00,022513,5.70995,5.6947477261225385
2022-03-18 00:00:00,022513,5.6871125000000005,5.669602473576863
2022-03-19 00:00:00,022513,5.7382583333333335,5.72627858320872
2022-03-20 00:00:00,022513,5.748208333333333,5.722704986731212
2022-03-21 00:00:00,022513,5.965966666666667,5.938124120235443
2022-03-22 00:00:00,022513,5.996966666666666,5.971752107143402
2022-03-23 00:00:00,022513,6.171483333333334,6.143412828445435
